class,accuracy,precision,recall,f1,samples
Tomato_Bacterial_spot,0.9843260188087775,0.9486404833836858,0.9843260188087775,0.9661538461538461,319
Tomato_Early_blight,0.94,0.9337748344370861,0.94,0.9368770764119602,150
Tomato_Late_blight,0.972027972027972,0.879746835443038,0.972027972027972,0.9235880398671097,286
Tomato_Leaf_Mold,0.5874125874125874,1.0,0.5874125874125874,0.7400881057268722,143
Tomato_Septoria_leaf_spot,0.9699248120300752,0.8896551724137931,0.9699248120300752,0.9280575539568345,266
Tomato_Spider_mites_Two_spotted_spider_mite,0.9123505976095617,1.0,0.9123505976095617,0.9541666666666667,251
Tomato__Target_Spot,0.981042654028436,0.9409090909090909,0.981042654028436,0.9605568445475638,211
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9792099792099792,0.9075144508670521,0.9792099792099792,0.942,481
Tomato__Tomato_mosaic_virus,0.21428571428571427,0.48,0.21428571428571427,0.2962962962962963,56
Tomato_healthy,0.9916317991631799,1.0,0.9916317991631799,0.9957983193277311,239
